title,content
全身,full body
半身像,portrait
上半身,upper body
正面视角,front view
侧面视角,from_side
从上方往下看,from_above
从下方往上看,from_below
左侧,left side view
右侧,right side view
动态角度,dynamic angle
倾斜视角,dutch angle
特写,close-up
微距,macro_shot
近景,selfie
中景, medium view
中长镜头,medium long shot
远景,wide shot
全景,panorama
近拍,close shot
俯视,vertical view
鸟瞰,bird's-eye view
鱼眼镜头,fisheye
多视角分解,multiple_views
裙底视角,phone_screen
