title,content
赛博朋克,Cyberpunk
霓虹朋克,Neon Punk
蒸汽波,Vaporwave
迷幻艺术,Psychedelia Art
酸性风格,Acid Graphics
极简主义,Minimalism
构成主义,Constructivism
孟菲斯风格,Memphis
