title,content
演播室灯光,Studio lighting
电影光效,cinematic_lighting
镜头光晕,lens_flare
光追,reality_ray_tracing
正面光,frontlight
侧面光,sidelight
背光,backlight
逆光,backlighting
边缘光,rim_light
强边缘光,strong_rim_light
自上而下的光线,god_rays
明亮的射线光束,light_rays
环境光,ambient_light
轮廓光,rim light
体积光,Volumetric Lighting
霓虹灯,glowing neon lights
透镜光晕,lens flare
金属光泽,metallic luster
氛围光照,moody lighting
丁达尔效应,Tyndall effect
漏光光效,light leaks
背景光,background light
自然光,available light
